,SMILE,ID,MOL,Activity,MolLogP,MolWt,HBD,HBA,NumAromaticRings,NumRotatableBonds,TPSA,MolMR,BertzCT,BalabanJ,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HeavyAtomCount,HeavyAtomWt,RingCount
22,n1ccsc1NC(=O)CSc2nnc(o2)-c3c(C)cccc3,C292-0028nan,<rdkit.Chem.rdchem.Mol object at 0x143991070>,0,3.2323200000000014,332.41,1,7,3,5,80.91000000000001,85.93870000000001,770.7630378894623,1.6023544222548405,1.3636363636363635,2.227272727272727,3.0,0.14285714285714285,22,320.31400000000014,3
23,c1cccc(c1Cl)C(=O)Nc2ccc(cc2)-c3[n+](Cc4ccccc4)c(n[nH]3)SCC(=O)Nc5sccn5,7688293nan,<rdkit.Chem.rdchem.Mol object at 0x1439910e0>,0,5.505500000000003,562.1000000000001,3,6,5,9,103.65,150.63559999999976,1539.8696215229813,1.346879801444623,0.9736842105263158,1.736842105263158,2.473684210526316,0.07407407407407407,38,539.9240000000002,5
24,n1ccsc1NC(=O)CSC(=[N+]2c(cc3)ccc3F)N=NC2CNC(=O)c4occc4,A0062402nan,<rdkit.Chem.rdchem.Mol object at 0x143991150>,0,3.469000000000002,459.50800000000015,2,8,3,7,111.96,114.21430000000002,1114.2417326345123,1.4756957434900349,1.2580645161290323,2.096774193548387,2.806451612903226,0.15789473684210525,31,443.3800000000002,4
25,n1ccsc1NC(=O)COc2c(C)cc(C)cc2,AN-652/12266159nan,<rdkit.Chem.rdchem.Mol object at 0x1439911c0>,0,2.7774400000000012,262.33399999999995,1,4,2,4,51.22,72.15470000000002,537.9292019684806,1.8904497298876932,1.4444444444444444,2.2777777777777777,2.9444444444444446,0.23076923076923078,18,248.22199999999995,2
26,n1ccsc1NC(=O)COc2cc(OC)ccc2,6523962nan,<rdkit.Chem.rdchem.Mol object at 0x143991230>,0,2.1692,264.306,1,5,2,5,60.45,69.23270000000002,513.8008916267964,1.848816193690534,1.4444444444444444,2.2777777777777777,3.0,0.16666666666666666,18,252.20999999999995,2
27,c1c(Cl)ccc(c1Cl)OCC(=O)Nc2sccn2,5104947nan,<rdkit.Chem.rdchem.Mol object at 0x1439912a0>,0,3.4674000000000005,303.16999999999996,1,4,2,4,51.22,72.70070000000003,545.9811704993044,1.8904497298876932,1.4444444444444444,2.2777777777777777,2.9444444444444446,0.09090909090909091,18,295.106,2
28,n1ccsc1N(C(=O)[C@H](N23)CCC3)[C@@H]2c4cnccc4,C466-0357nan,<rdkit.Chem.rdchem.Mol object at 0x143991310>,0,2.0479000000000003,286.35999999999996,0,5,2,2,49.330000000000005,76.30600000000003,615.3688455006776,1.8103706371530848,1.35,2.3,3.05,0.35714285714285715,20,272.248,4
29,Clc1ccc(cc1)S(=O)(=O)Nc2cc(ccc2)-c(n3)cn(c34)ccs4,5938-0016nan,<rdkit.Chem.rdchem.Mol object at 0x143991380>,0,4.517000000000001,389.88900000000007,1,5,4,4,63.47,100.76550000000002,1119.5859995591122,1.6485392041964755,1.12,1.92,2.68,0.0,25,377.7930000000001,4
30,s1ccn(c12)c(c(n2)C)-c3nc(N)sc3,6430568nan,<rdkit.Chem.rdchem.Mol object at 0x1439913f0>,0,2.4099199999999996,236.32500000000002,1,6,3,1,56.21,63.32640000000001,618.9139606434003,2.3278417570256,1.3333333333333333,2.2,2.933333333333333,0.1111111111111111,15,228.261,3
31,s1ccn(c12)c(C#N)c(n2)-c3ccccc3,2E-146Snan,<rdkit.Chem.rdchem.Mol object at 0x143991460>,0,2.9344800000000015,225.27600000000004,0,4,3,1,41.09,63.22000000000002,673.1724309213058,2.3233671358235495,1.25,2.0625,2.8125,0.0,16,218.21999999999997,3
32,Fc(c1)ccc(c12)N([C@H](C)CC2)C(=O)c(cn3)c(=O)n(c34)ccs4,C457-0075nan,<rdkit.Chem.rdchem.Mol object at 0x1439914d0>,0,2.8766000000000007,343.38300000000004,0,5,3,1,54.68000000000001,90.3315,1010.4834563538584,1.8381554796245378,1.4166666666666667,2.25,3.0833333333333335,0.23529411764705882,24,329.271,4
33,FC(F)(F)c1cc(ccc1)Cc2sc(nc2)NC(=O)/C=C/c3sccc3,6077380nan,<rdkit.Chem.rdchem.Mol object at 0x143991540>,0,5.466100000000002,394.4430000000001,1,4,3,5,41.99,98.34670000000001,914.6715896155739,1.62084604125755,1.2307692307692308,2.076923076923077,2.8076923076923075,0.1111111111111111,26,381.33900000000017,3
34,c1ccsc1/C=C/C(=O)Nc2cc(C(=O)OC)cc(c2)C(=O)OC,AK-968/11845515nan,<rdkit.Chem.rdchem.Mol object at 0x1439915b0>,0,2.9732000000000003,345.3760000000001,1,6,2,5,81.7,91.10370000000003,746.0335192541276,2.2263804275703483,1.0416666666666667,1.6666666666666667,2.1666666666666665,0.11764705882352941,24,330.2560000000001,2
35,c1cc(F)cc(c1F)NS(=O)(=O)c2ccc(cc2)NC(=S)NC(=O)/C=C/c3sccc3,RJF2184.0,<rdkit.Chem.rdchem.Mol object at 0x143991620>,0,4.353500000000001,479.5550000000001,3,5,3,6,87.30000000000001,121.32490000000001,1226.3109175797304,1.6039658021617191,1.064516129032258,1.8064516129032258,2.4838709677419355,0.0,31,464.43500000000023,3
36,c1ccsc1/C=C/C(=O)NC(=O)Nc2nc(C)ccc2,MGH192.0,<rdkit.Chem.rdchem.Mol object at 0x143991690>,0,2.8130200000000007,287.344,2,4,2,3,71.09,79.48840000000001,635.628389995154,1.8643023983474256,1.25,2.1,2.8,0.07142857142857142,20,274.24,2
37,c1ccsc1/C=C/C(=O)N2CCN(CC2)CCN(C3=O)C(=O)c4cccc(c4c35)ccc5,5936018nan,<rdkit.Chem.rdchem.Mol object at 0x143991700>,0,3.3549000000000024,445.5440000000001,0,5,3,5,60.93000000000001,125.68800000000002,1159.655000367458,1.1873037223339216,0.875,1.5625,2.1875,0.24,32,422.3600000000003,5
38,c1ccsc1[C@@]2(C)NN(C(=S)N2)c3ccc(C)cc3,AG-205/14186078nan,<rdkit.Chem.rdchem.Mol object at 0x143991770>,0,3.1285200000000017,289.42900000000003,2,3,2,2,27.299999999999997,84.19840000000002,591.6634547033013,1.8991149873348858,1.2105263157894737,1.9473684210526316,2.5789473684210527,0.21428571428571427,19,274.309,3
39,c1ccsc1[C@H](O)c(c2)ccc(c23)OCO3,AN-329/15537897nan,<rdkit.Chem.rdchem.Mol object at 0x1439917e0>,0,2.5585000000000004,234.27599999999995,1,4,2,2,38.69,60.945800000000034,492.9699095090358,1.9516838606229936,1.1875,2.0625,2.875,0.16666666666666666,16,224.19599999999994,3
40,c1ccsc1[C@H](O)c2cc(ccc2)OCc3ccccc3,4275-2145nan,<rdkit.Chem.rdchem.Mol object at 0x143991850>,0,4.408800000000004,296.39099999999996,1,3,3,5,29.46,85.59680000000003,677.4576514300503,1.7124274945297144,0.9523809523809523,1.8095238095238095,2.5714285714285716,0.1111111111111111,21,280.263,3
41,c1ccsc1[C@H](O)c2[n+](C)cc[nH]2,4275-2227nan,<rdkit.Chem.rdchem.Mol object at 0x1439918c0>,0,0.9824000000000002,195.267,2,2,2,2,39.9,50.34950000000002,379.98497687219447,2.3303938410070884,1.6153846153846154,2.4615384615384617,3.0,0.2222222222222222,13,184.17899999999997,2
42,c1ccsc1[C@H](N(C2=O)C)[C@@H](c(c23)cccc3)C(=O)NCCCN4[C@H](CC)CCCC4,E456-0098nan,<rdkit.Chem.rdchem.Mol object at 0x143991930>,0,4.429400000000004,439.6250000000004,1,4,2,7,52.650000000000006,125.46620000000006,897.9318825740297,1.466513429466714,1.1935483870967742,2.032258064516129,2.806451612903226,0.52,31,406.3610000000002,4
43,Brc1cc(ccc1)[N+]2=C(CCC(=O)O)C=CC2c3sccc3,5408-2432nan,<rdkit.Chem.rdchem.Mol object at 0x1439919a0>,0,4.771500000000003,377.283,1,2,2,5,40.31,92.13920000000002,749.7792477055376,2.0250589520910354,1.3181818181818181,2.1818181818181817,2.8636363636363638,0.17647058823529413,22,362.1630000000001,3
44,c1ccccc1[C@H]([*](=O)O)[C@@H](C(C(=O)C)C(=O)C)c2sccc2,5402515nan,<rdkit.Chem.rdchem.Mol object at 0x143991a10>,0,3.240700000000002,318.39399999999995,1,4,2,7,71.44,84.00030000000004,682.6481510597193,2.611959459713946,1.0909090909090908,1.7272727272727273,2.1818181818181817,0.29411764705882354,22,300.25,2
45,Brc1cnc(N)c(c1)S(=O)(=O)N[C@H](CC)c2sccc2,E138-2207nan,<rdkit.Chem.rdchem.Mol object at 0x143991a80>,0,2.9174000000000015,376.3010000000001,2,5,2,5,85.08,84.02190000000002,686.7329271606292,2.330243240543333,1.55,2.3,2.9,0.25,20,362.18900000000014,2
46,c1ccsc1[C@@H](CC(=O)O)NCc2cc(ccc2)Oc3ccccc3,K783-0646nan,<rdkit.Chem.rdchem.Mol object at 0x143991af0>,0,4.846000000000003,353.44300000000004,2,4,3,8,58.56,99.11050000000003,802.8281803781372,1.654655481335371,1.04,1.84,2.56,0.15,25,334.2910000000001,3
47,c1ccsc1[C@@H]2N(C(=O)C)N=C(C2)c3occc3,7767735nan,<rdkit.Chem.rdchem.Mol object at 0x143991b60>,0,3.0387000000000013,260.318,0,4,2,2,45.81,69.44200000000002,572.172811329696,1.9322676181970413,1.5,2.388888888888889,3.0,0.23076923076923078,18,248.22199999999995,3
48,c1ccsc1[C@H]2SCCN2c3ccccc3,8010-3448nan,<rdkit.Chem.rdchem.Mol object at 0x143991bd0>,0,4.000100000000002,247.38799999999998,0,3,2,2,3.24,73.30600000000004,438.2208581403921,1.9039467230212748,1.0625,1.9375,2.6875,0.23076923076923078,16,234.28399999999996,3
49,c1ccsc1[C@@H]2N(C(=O)C)C(=O)NC(C)=C2C(=O)OCC,R796840nan,<rdkit.Chem.rdchem.Mol object at 0x143991c40>,0,2.1980000000000004,308.3590000000001,1,5,1,3,75.71000000000001,77.44470000000003,606.5000115064738,2.564066154619379,1.4761904761904763,2.1904761904761907,2.7142857142857144,0.35714285714285715,21,292.231,2
50,c1ccsc1S(=O)(=O)NCC(=O)Nc2cc(ccc2)C(=O)OCC,C137-1726nan,<rdkit.Chem.rdchem.Mol object at 0x143991cb0>,0,1.8417999999999997,368.43600000000015,2,6,2,7,101.57000000000001,90.53570000000003,816.1497740809166,1.9534127812675346,1.2083333333333333,2.0,2.6666666666666665,0.2,24,352.30800000000016,2
51,Clc1cc(ccc1)CS(=O)(=O)c2sccc2,KM2249.0,<rdkit.Chem.rdchem.Mol object at 0x143991d20>,0,3.3754000000000017,272.77799999999996,0,3,2,3,34.14,66.66080000000002,573.7918479541776,2.2871268282833084,1.1875,2.0,2.625,0.09090909090909091,16,263.70599999999996,2
52,Clc1c(Cl)ccc(c1)CS(=O)(=O)c2sccc2,KM2250.0,<rdkit.Chem.rdchem.Mol object at 0x143991d90>,0,4.028800000000002,307.22299999999996,0,3,2,3,34.14,71.67080000000003,618.9259175024588,2.2979560220893704,1.1176470588235294,1.8823529411764706,2.4705882352941178,0.09090909090909091,17,299.15900000000005,2
53,c1cccc(c1F)CS(=O)(=O)c2sccc2,KM2354.0,<rdkit.Chem.rdchem.Mol object at 0x143991e00>,0,2.8611000000000013,256.323,0,3,2,3,34.14,61.60880000000003,573.7918479541776,2.327697749956035,1.125,1.875,2.5,0.09090909090909091,16,247.25099999999998,2
54,c1ccsc1S(=O)(=O)CCC(=O)Nc2ccc(cc2)C(=O)N[C@H](CCC3)c(c34)cccc4,C224-4994nan,<rdkit.Chem.rdchem.Mol object at 0x143991e70>,0,4.358000000000003,468.60000000000025,2,5,3,7,92.34,125.64770000000003,1203.0609249330864,1.3205454659925473,1.0,1.78125,2.53125,0.25,32,444.4080000000003,4
55,c1ccsc1S(=O)(=O)CCC(=O)Nc2ccc(cc2)C(=O)NC3CCN(CC3)Cc4ccccc4,C224-5005nan,<rdkit.Chem.rdchem.Mol object at 0x143991ee0>,0,3.945000000000003,511.6690000000003,2,6,3,9,95.58,138.2676999999999,1219.3708920684767,1.20406187511048,0.9428571428571428,1.6571428571428573,2.3142857142857145,0.3076923076923077,35,482.43700000000035,4
56,c1ccsc1NC(=O)Nc2ncc(C)cc2,C795-0358nan,<rdkit.Chem.rdchem.Mol object at 0x143991f50>,0,3.0955200000000005,233.296,2,3,2,2,54.02,65.93440000000001,464.48471428352866,1.9457956315923326,1.3125,2.1875,2.8125,0.09090909090909091,16,222.20799999999997,2
57,c1ccsc1NC(=O)Nc2c(C)c(C)ccc2,C795-0369nan,<rdkit.Chem.rdchem.Mol object at 0x143991fc0>,0,4.008940000000002,246.33499999999998,2,2,2,2,41.13,72.87640000000002,520.2206617923895,2.05629873923952,1.1176470588235294,1.9411764705882353,2.6470588235294117,0.15384615384615385,17,232.22299999999996,2
58,c1ccsc1NC(=O)NCc2ccc(C)cc2,C795-0374nan,<rdkit.Chem.rdchem.Mol object at 0x143992030>,0,3.3782200000000016,246.33499999999998,2,2,2,3,41.13,71.35640000000002,476.63038648743816,1.817092909132338,1.2352941176470589,2.0,2.6470588235294117,0.15384615384615385,17,232.22299999999996,2
59,c1ccsc1NC(=O)NCc2c(OC)c(OC)ccc2,E002-0001nan,<rdkit.Chem.rdchem.Mol object at 0x1439920a0>,0,3.0870000000000015,292.35999999999996,2,4,2,5,59.59,79.72340000000003,569.8029222237586,1.9808535574116353,1.2,2.05,2.7,0.21428571428571427,20,276.23199999999997,2
60,c1cccc(c1Cl)CNC(=O)Nc2sccc2,C795-0363nan,<rdkit.Chem.rdchem.Mol object at 0x143992110>,0,3.723200000000001,266.75300000000004,2,2,2,3,41.13,71.62940000000002,498.9665528146184,1.8630725368418204,1.2352941176470589,2.0588235294117645,2.764705882352941,0.08333333333333333,17,255.66499999999996,2
61,c1ccsc1Cc2n[nH]c(=S)n2C,7777114nan,<rdkit.Chem.rdchem.Mol object at 0x143992180>,0,2.1299899999999994,211.315,1,4,2,2,33.61,55.51770000000001,438.1548111032737,2.285338386667812,1.6923076923076923,2.5384615384615383,3.076923076923077,0.25,13,202.243,2
62,c1ccsc1C[N+]2=NN=NC2N(C)C,4C-020nan,<rdkit.Chem.rdchem.Mol object at 0x1439921f0>,0,1.9387999999999999,210.286,0,5,1,3,43.33,53.04240000000003,353.81836053780205,2.060452901677697,1.5714285714285714,2.4285714285714284,3.0714285714285716,0.5,14,198.19,2
63,c1ccsc1C[C@@H](C(=O)O)c2ccccc2,AG-690/03049062nan,<rdkit.Chem.rdchem.Mol object at 0x143992260>,0,3.1590000000000007,232.304,1,2,2,4,37.3,64.84180000000002,448.04953759428577,2.217084351954347,1.1875,1.9375,2.5,0.15384615384615385,16,220.20799999999994,2
64,FC(F)(F)Oc1ccc(cc1)NC(=O)CNCc2sccc2,ASN9858580.0,<rdkit.Chem.rdchem.Mol object at 0x1439922d0>,0,3.375000000000001,330.331,2,4,2,6,50.36,77.78040000000003,597.5505525535667,1.761981479565117,1.1818181818181819,1.9090909090909092,2.5,0.21428571428571427,22,317.22700000000003,2
65,c1ccsc1CNC(=O)c(c2)ccc(c23)Sc4c(cccc4)C(=O)N3CC=C,K784-7758nan,<rdkit.Chem.rdchem.Mol object at 0x143992340>,0,4.975500000000004,406.5320000000002,1,4,3,5,49.410000000000004,114.36970000000004,1044.450134937414,1.672225521345687,1.1071428571428572,1.9642857142857142,2.75,0.09090909090909091,28,388.3880000000002,4
66,c1cccc(C)c1S(=O)(=O)Cc2oc(cc2)C(=O)NCc3sccc3,C521-0875nan,<rdkit.Chem.rdchem.Mol object at 0x1439923b0>,0,3.553420000000002,375.47100000000006,1,5,3,6,76.38,96.26600000000002,972.1919426186483,1.6876203901274764,1.12,1.92,2.64,0.16666666666666666,25,358.33500000000004,3
67,c1ccsc1CNC(=O)c2ccc(cc2)OCC,7252549nan,<rdkit.Chem.rdchem.Mol object at 0x143992420>,0,3.0768000000000013,261.346,1,3,2,5,38.33,73.10020000000003,491.0223602288074,1.918055921045189,1.2777777777777777,2.0555555555555554,2.6666666666666665,0.21428571428571427,18,246.22599999999994,2
68,Clc1snc(c1Cl)C(=O)O[C@H](CC)C(=O)NCc2sccc2,ASN6396818.0,<rdkit.Chem.rdchem.Mol object at 0x143992490>,0,3.763200000000002,379.2900000000001,1,6,2,6,68.28999999999999,87.7942,658.2992535903127,1.9430812376649391,1.4545454545454546,2.227272727272727,2.772727272727273,0.3076923076923077,22,367.19400000000013,2
69,c1snnc1-c2ccc(cc2)C(=O)NC(=O)NCc3sccc3,SEW1152.0,<rdkit.Chem.rdchem.Mol object at 0x143992500>,0,2.906200000000001,344.42100000000005,2,6,3,4,83.98,89.36590000000001,783.5183160256669,1.5599779483300213,1.1304347826086956,1.9565217391304348,2.608695652173913,0.06666666666666667,23,332.32500000000005,3
70,c1ccsc1-c(c2)nc(nc2C(F)(F)F)SCC(=O)NCc3sccc3,AP-906/42285810nan,<rdkit.Chem.rdchem.Mol object at 0x143992570>,0,4.693900000000002,415.48700000000014,1,6,3,6,54.88,97.2367,864.7498681902663,1.6980818213529556,1.1538461538461537,1.9230769230769231,2.576923076923077,0.1875,26,403.39100000000013,3
71,c1ccsc1CNC(=O)CSc2[nH]nc([n+]23)c4c(CC3(C)C)cccc4,ASN6978390.0,<rdkit.Chem.rdchem.Mol object at 0x1439925e0>,0,3.1254000000000017,385.5380000000002,2,4,3,5,61.660000000000004,104.1344,930.9295371140241,1.4913530427666977,1.3461538461538463,2.1923076923076925,3.0,0.3157894736842105,26,364.37000000000023,4
72,c1ccsc1CNC(=O)CNC(=S)N(C[C@@H]23)C[C@@H](C3)c4n(C2)c(=O)ccc4,K784-8912nan,<rdkit.Chem.rdchem.Mol object at 0x143992650>,0,1.5197999999999996,402.5450000000002,2,5,2,4,66.37,109.88940000000002,893.3646539972267,1.3128947138173965,1.1851851851851851,2.074074074074074,2.888888888888889,0.42105263157894735,27,380.3690000000002,4
73,COc(c1)c(OC)c(OC)cc1C(c(c23)c(C)c(s2)C)=NCC(=O)N3CC(=O)NCc4sccc4,ASN4425287.0,<rdkit.Chem.rdchem.Mol object at 0x1439926c0>,0,3.9526400000000024,513.6410000000003,1,8,3,8,89.46000000000001,138.91569999999993,1255.5055210721466,1.7190412316895394,1.1428571428571428,1.8571428571428572,2.4571428571428573,0.32,35,486.42500000000024,4
74,Fc1cc(ccc1)C(=O)C2CCN(CC2)CC(=O)NCc3sccc3,ASN6583618.0,<rdkit.Chem.rdchem.Mol object at 0x143992730>,0,3.098300000000001,360.45399999999995,1,4,2,6,49.410000000000004,96.06020000000002,724.7851400493228,1.4339991289018756,1.2,2.0,2.68,0.3684210526315789,25,339.28600000000006,3
75,c1cc(OC)ccc1S(=O)(=O)NCCC(=O)NCc2sccc2,K784-9254nan,<rdkit.Chem.rdchem.Mol object at 0x1439927a0>,0,1.7415,354.45300000000003,2,5,2,8,84.5,88.96520000000004,725.3471864519562,1.7804291084651311,1.2173913043478262,1.9565217391304348,2.5652173913043477,0.26666666666666666,23,336.3090000000001,2
76,Brc1ccc(cc1)S(=O)(=O)NCCC(=O)NCc2sccc2,K781-4200nan,<rdkit.Chem.rdchem.Mol object at 0x143992810>,0,2.495400000000001,403.32300000000015,2,4,2,7,75.27,90.1132,713.0560412811692,1.7704051008498238,1.1818181818181819,1.9090909090909092,2.5454545454545454,0.21428571428571427,22,388.20300000000015,2
77,c1ccsc1CNC(=O)C(S2)C=C(C2=3)C(=N[N+]3C)c4cc(OC)ccc4,C453-0162nan,<rdkit.Chem.rdchem.Mol object at 0x143992880>,0,2.873400000000001,384.50600000000014,1,5,2,5,53.7,106.3501,945.4536567899027,1.532597973499549,1.3461538461538463,2.230769230769231,3.0,0.21052631578947367,26,366.3620000000002,4
